SUB_ALCALDIA,DISTRITO,SUB_DISTRITO,ZONA,GATEWAY,METRICA,HABITANTES_TOTAL_ZONA
TUNARI,1,24,QUERU QUERU ALTO,LoRaWan-ParqueLincon,15341000,90026
TUNARI,1,25,ARANJUEZ ALTO,LoRaWan-ParqueLincon,15199900,90026
TUNARI,1,26,MESADILLA,LoRaWan-ParqueLincon,15801030,90026
TUNARI,2,1,MAYORAZGO,LoRaWan-ParqueLincon,15349998,90026
TUNARI,2,3,CALA CALA,LoRaWan-ParqueLincon,16881100,90026
TUNARI,2,22,CONDEBAMBA,LoRaWan-ParqueLincon,15651020,90026
TUNARI,2,23,TEMPORAL PAMPA,LoRaWan-ParqueLincon,15561014,90026
TUNARI,2,24,QUERU QUERU ALTO,LoRaWan-ParqueLincon,15651020,90026
TUNARI,13,24,LA TEMIBLE CARA CARA,LoRaWan-ParqueLincon,15341000,90026
MOLLE,3,2,SARCO,LoRaWan-ParqueLincon,15591016,91442
MOLLE,3,6,HIPODROMO,LoRaWan-ParqueLincon,15531012,91442
MOLLE,3,21,SARCOBAMBA,LoRaWan-ParqueLincon,15471008,91442
MOLLE,3,27,VILLA BUSCH,LoRaWan-ParqueLincon,15421005,91442
MOLLE,3,37,CHIQUICOLLO,LoRaWan-ParqueLincon,15361001,91442
MOLLE,4,6,HIPODROMO,LoRaWan-ParqueLincon,15319980,91442
MOLLE,4,10,LA CHIMBA,LoRaWan-ParqueLincon,15259944,91442
MOLLE,4,27,VILLA BUSCH,LoRaWan-ParqueLincon,15209908,91442
MOLLE,4,28,COÑA COÑA,LoRaWan-ParqueLincon,15149872,91442
ALEJO CALATAYUD,5,12,SUDESTE,LoRaWan-ParqueLincon,17281126,101368
ALEJO CALATAYUD,5,14,LA MAICA,LoRaWan-ParqueLincon,17421135,101368
ALEJO CALATAYUD,5,15,JAIHUAYCO,LoRaWan-ParqueLincon,17561144,101368
ALEJO CALATAYUD,5,16,ALALAY NORTE,LoRaWan-ParqueLincon,17701153,101368
ALEJO CALATAYUD,5,17,LACMA,LoRaWan-ParqueLincon,17841163,101368
ALEJO CALATAYUD,8,18,TICTI,LoRaWan-ParqueLincon,17981172,101368
ALEJO CALATAYUD,8,20,VALLE HERMOSO,LoRaWan-ParqueLincon,18121181,101368
ALEJO CALATAYUD,8,34,USPHA USPHA,LoRaWan-ParqueLincon,18261190,101368
VALLE HERMOSO,6,16,ALALAY NORTE,LoRaWan-ParqueLincon - LoRaWan-Teleferico,16731090,98167
VALLE HERMOSO,7,16,ALALAY NORTE,LoRaWan-Teleferico,16541078,98167
VALLE HERMOSO,7,19,ALALAY SUD,LoRaWan-Teleferico,16351066,98167
VALLE HERMOSO,14,19,ALALAY SUD,LoRaWan-Teleferico,16171053,98167
VALLE HERMOSO,14,20,VALLE HERMOSO,LoRaWan-Teleferico,15981041,98167
ITOCTA,9,14,LA MAICA,LoRaWan-Petrolera,22381458,131295
ITOCTA,9,28,COÑA COÑA,LoRaWan-Petrolera,22411460,131295
ITOCTA,9,29,TAMBORADA PUKARITA,LoRaWan-Petrolera,22441462,131295
ITOCTA,9,30,1° DE MAYO,LoRaWan-Petrolera,22471464,131295
ITOCTA,9,31,PUKARA GRANDE NORTE,LoRaWan-Petrolera,22501466,131295
ITOCTA,9,32,VALLE HERMOSO OESTE,LoRaWan-Petrolera,22531468,131295
ITOCTA,9,35,PUKARA GRANDE SUR,LoRaWan-Petrolera,22561470,131295
ITOCTA,9,36,PUKARA GRANDE OESTE,LoRaWan-Petrolera,22591472,131295
ITOCTA,15,32,VALLE HERMOSO OESTE,LoRaWan-Petrolera,22381458,131295
ITOCTA,15,33,KHARA KHARA ARRUMANI,LoRaWan-Petrolera,23931560,131295
ITOCTA,15,35,PUKARA GRANDE SUR,LoRaWan-Petrolera LoRaWan-ParqueVial,22381458,131295
ADELA ZAMUDIO,10,7,NOROESTE,LoRaWan-ParqueVial,20401330,119710
ADELA ZAMUDIO,10,8,NORESTE,LoRaWan-ParqueVial,20461333,119710
ADELA ZAMUDIO,10,11,SUDOESTE,LoRaWan-ParqueVial,20511337,119710
ADELA ZAMUDIO,10,12,SUDESTE,LoRaWan-ParqueVial,20571340,119710
ADELA ZAMUDIO,11,9,MUYURINA,LoRaWan-ParqueVial,20621344,119710
ADELA ZAMUDIO,11,13,LAS CUADRAS,LoRaWan-ParqueVial,20681348,119710
ADELA ZAMUDIO,11,16,ALALAY NORTE,LoRaWan-ParqueVial,20731351,119710
ADELA ZAMUDIO,12,2,SARCO,LoRaWan-ParqueVial,20791355,119710
ADELA ZAMUDIO,12,3,CALA CALA,LoRaWan-ParqueVial,20841358,119710
ADELA ZAMUDIO,12,4,QUERU QUERU,LoRaWan-ParqueVial,20901362,119710
ADELA ZAMUDIO,12,5,TUPURAYA,LoRaWan-ParqueVial,20961366,119710
ADELA ZAMUDIO,12,6,HIPODROMO,LoRaWan-ParqueVial,21011369,119710
